nameBold,nameThin,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
La Farra Prosecco,Rosé,La Farra,2020,11.0,750.0,79.0,Italien,Venetien,Prosecco,Mousserande vin,Rosé,Serveras vid 6-8°C som aperitif eller sällskapsdryck eller till sallader.,"Fruktig smak med inslag av persika, örter, hallon, kex och blodapelsin.",0.0%,16.666666666666664%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/la-farra-prosecco-232301,https://product-cdn.systembolaget.se/productimages/24555257/24555257,Glera---Pinot noir
Twenty One,Rosé,Åkesson Vin,2020,13.0,750.0,59.0,Australien,South Australia,,Rosévin,Fruktigt & Smakrikt,"Serveras vid 8-10°C som sällskapsdryck, eller till rätter av fisk och ljust kött, gärna sallader.","Fruktig smak med inslag av persika, örter, jordgubbar, vattenmelon och blodapelsin.",0.0%,16.666666666666664%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/twenty-one-631201,https://product-cdn.systembolaget.se/productimages/24520221/24520221,Petit verdot---Verdelho---Colombard
Piconico Chardonnay,,Concealed Wines,2020,13.5,750.0,79.0,Argentina,Cuyo,Mendoza,Vitt vin,Friskt & Fruktigt,Serveras vid 8-10°C till rätter av fisk och skaldjur.,"Fruktig, ungdomlig smak med inslag av gröna äpplen, örter, honungsmelon, päron och citrus.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/piconico-chardonnay-229601,https://product-cdn.systembolaget.se/productimages/24528946/24528946,Chardonnay
Santa Inés,,Santa Teresa,2019,13.5,750.0,79.0,Chile,Valle Central,,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Mycket fruktig smak med inslag av fat, svarta vinbär, viol, mörka körsbär, lakrits och hallon.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/santa-inés-244601,https://product-cdn.systembolaget.se/productimages/24536977/24536977,Cabernet sauvignon---Malbec
Don David,Red Blend,El Esteco,2020,14.5,2000.0,199.0,Argentina,North,Salta,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till grillade rätter av lamm- och nötkött.,"Mycket fruktig smak med inslag av fat, mörka körsbär, örter, plommon, svartpeppar, choklad och skogshallon.",0.0%,0.0%,75.0%,66.66666666666666%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/don-david-236407,https://product-cdn.systembolaget.se/productimages/24537228/24537228,Bonarda---Tannat---Cabernet sauvignon---Malbec
Perdeberg Cellar,Reserve Collection,Perdeberg Winery,2019,14.0,750.0,89.0,Sydafrika,Western Cape,Coastal Region,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till grillade rätter av lamm- eller nötkött.,"Fruktigt, smakrikt vin med inslag av fat, plommon, blåbär, svartpeppar, körsbär och vanilj.",0.0%,0.0%,66.66666666666666%,75.0%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/perdeberg-cellar-204601,https://product-cdn.systembolaget.se/productimages/24489832/24489832,Cabernet sauvignon---Malbec---Shiraz
Offley,10 Years Old Tawny Porto,Sogrape Vinhos,,20.0,750.0,239.0,Portugal,Douro,Porto,Aperitif & Dessert,Portvin,"Serveras vid 14-16°C till desserter innehållande nötter och choklad, eller till lagrade ostar.","Komplex, utvecklad, söt smak med fatkaraktär, inslag av torkade dadlar, hasselnötter, apelsinskal, choklad, russin och kanel.",0.0%,75.0%,0.0%,66.66666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/offley-802601,https://product-cdn.systembolaget.se/productimages/24519118/24519118,
Sant'ilia,Chardonnay,Edoardo Miroglio Eood,2019,13.0,750.0,89.0,Bulgarien,Trakien,,Vitt vin,Fylligt & Smakrikt,"Serveras vid 10-12°C till smakrika vegetariska rätter, eller till fisk och ljust kött.","Fruktig smak med fatkaraktär, inslag av gula äpplen, brynt smör, persika, kryddor, nötter och apelsin.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/sant'ilia-218901,https://product-cdn.systembolaget.se/productimages/24513133/24513133,Chardonnay---Sauvignon blanc
Le Lion Féroce,,Sarl Vignobles Plaza Tedaldi,2019,14.5,750.0,109.0,Frankrike,Languedoc-Roussillon,Minervois,Rött vin,Fruktigt & Smakrikt,Serveras vid cirka 18°C till rätter av lamm- eller nötkött.,"Fruktigt, smakrikt vin med inslag av björnbär, kryddor, plommon, lakrits, sandelträ och färska örter.",0.0%,0.0%,75.0%,75.0%,75.0%,https://www.systembolaget.se/produkt/vin/le-lion-féroce-2232401,https://product-cdn.systembolaget.se/productimages/24516817/24516817,Syrah---Grenache---Carignan---Mourvèdre
Cameleon Signature,Cabernet Sauvignon,Domaine Bousquet,2019,14.0,750.0,95.0,Argentina,Cuyo,Mendoza,Rött vin,Fruktigt & Smakrikt,Serveras vid 16-18°C till rätter av lamm- och nötkött.,"Fruktig, nyanserad smak med fatkaraktär, inslag av av svarta vinbär, örter, plommon, mörka körsbär och choklad.",0.0%,0.0%,75.0%,75.0%,66.66666666666666%,https://www.systembolaget.se/produkt/vin/cameleon-signature-207601,https://product-cdn.systembolaget.se/productimages/24494046/24494046,Cabernet sauvignon
